#chr	pos	class	strand	S1	S2
Chr1	1	CHH	C	40/100.0/4/0	0
Chr1	2	CHH	C	40/75.0/3/1	0
Chr1	3	CHH	C	40/100.0/4/0	0
Chr1	8	CHH	C	40/75.0/3/1	0
Chr1	9	CHH	C	40/75.0/3/1	0
Chr1	10	CHH	C	40/100.0/4/0	0
Chr1	15	CHH	C	40/80.0/4/1	0
Chr1	17	CHH	C	40/100.0/5/0	0
Chr1	22	CHH	C	40/80.0/4/1	0
Chr1	23	CHH	C	40/100.0/5/0	0
Chr1	24	CHH	C	40/100.0/5/0	0
Chr1	29	CHH	C	40/80.0/4/1	0
Chr1	30	CHH	C	40/100.0/5/0	0
Chr1	32	CHG	C	40/100.0/5/0	0
Chr1	34	CHG	G	40/45.5/5/6	40/63.6/7/4
Chr1	38	CHH	C	40/80.0/4/1	0
Chr1	39	CHH	C	40/80.0/4/1	0
Chr1	45	CHH	C	40/80.0/4/1	40/0.0/0/1
Chr1	46	CHH	C	40/60.0/3/2	40/0.0/0/1
Chr1	47	CHH	C	40/100.0/6/0	40/100.0/1/0
Chr1	53	CHH	C	40/66.7/4/2	40/0.0/0/1
Chr1	54	CHH	C	40/0.0/0/5	0
Chr1	55	CHH	C	40/66.7/4/2	40/0.0/0/1
Chr1	61	CHH	C	40/80.0/4/1	40/0.0/0/1
Chr1	69	CHH	C	40/60.0/3/2	40/0.0/0/1
Chr1	70	CHH	C	40/80.0/4/1	40/0.0/0/1
Chr1	76	CHH	C	40/60.0/3/2	40/0.0/0/2
Chr1	77	CHH	C	40/50.0/2/2	40/100.0/1/0
Chr1	80	CHH	G	40/9.1/1/10	40/12.5/1/7
Chr1	84	CHH	C	40/50.0/3/3	40/100.0/1/0
Chr1	85	CHH	C	40/57.1/4/3	40/100.0/1/0
Chr1	86	CHH	C	40/83.3/5/1	40/100.0/2/0
Chr1	93	CHH	C	40/66.7/6/3	40/33.3/1/2
Chr1	94	CHH	C	40/66.7/6/3	40/50.0/1/1
Chr1	100	CHH	C	40/55.6/5/4	0
Chr1	101	CHH	C	40/55.6/5/4	40/33.3/1/2
Chr1	102	CHH	C	40/66.7/6/3	40/50.0/2/2
Chr1	107	CHH	C	40/22.2/2/7	0
Chr1	108	CHG	C	40/100.0/10/0	40/83.3/5/1
Chr1	109	CG	C	40/100.0/10/0	40/100.0/6/0
Chr1	110	CG	G	40/100.0/8/0	40/100.0/5/0
Chr1	114	CHG	C	40/40.0/4/6	40/12.5/1/7
Chr1	115	CG	C	40/90.0/9/1	0
Chr1	116	CG	G	40/100.0/6/0	40/100.0/6/0
Chr1	117	CHG	G	40/50.0/3/3	40/33.3/2/4
Chr1	121	CHH	C	0	40/18.2/4/18
Chr1	123	CHG	C	0	40/50.0/12/12
